"Fecha","WTI","JPM_Dollar_Index","VIX_Index","OPEP_TOTPROD","OPEP_TOTDEM","TBILL_10YR","TBILL_1YR"
"ene-05",3.94642443214548,4.57875433948266,2.49155119250667,3.39054080147363,4.44382703557933,1.43983512804792,1.05082162483176
"feb-05",4.01457959375324,4.55531795802852,2.64048488160644,3.39417276672519,4.4414740933173,1.42791603581071,1.10856261952128
"mar-05",3.90640726664251,4.56179284601852,2.72850620966959,3.39886132186461,4.41521960202965,1.50407739677627,1.19392246847243
"abr-05",3.95066662902035,4.5550656584214,2.58701187272515,3.39952932456146,4.39937527300849,1.46787434811231,1.1999647829284
"may-05",4.0342406381524,4.56074796843534,2.48823443988067,3.40139736166482,4.43911560165801,1.42069578783722,1.20297230399235
"jun-05",4.10379972099286,4.56928390742368,2.44841554120559,3.41114771251532,4.41521960202965,1.38629436111989,1.21194097397511
"jul-05",4.23323656108872,4.5715823781931,2.53369681395743,3.41477150168927,4.43911560165801,1.43031124653666,1.29198368164865
"ago-05",4.193284510077,4.57973955112627,2.4782176616372,3.41641434746702,4.4188406077966,1.44926916028128,1.35325450704169
"sep-05",4.09033654082456,4.56708402898251,2.72915916431245,3.40850395684459,4.40060302024682,1.43508452528932,1.34807314829969
"oct-05",4.04864960295997,4.57427789504556,2.48989419129904,3.39802569049652,4.43793426661218,1.49514876603197,1.43031124653666
"nov-05",4.1115293869762,4.57529843478313,2.49072303510944,3.39802569049652,4.46014441393783,1.51292701205326,1.4655675420144
"dic-05",4.21833054200309,4.59467530689544,2.56109578814555,3.38405122282718,4.42604352009066,1.49738840862548,1.47017584510059
"ene-06",4.11757268834131,4.59463488407271,2.51284601847724,3.39668722618427,4.45201900649392,1.48613969608961,1.49290409617815
"feb-06",4.19915492657445,4.58635427173045,2.43273577745909,3.39417276672519,4.44617445449763,1.51951320490611,1.54329810992956
"mar-06",4.27499806191536,4.59993651418948,2.45014265735166,3.38929347715933,4.41037110768302,1.55180879959746,1.56234630490025
